| ==== Lista Rankingowa ==== |
| PID | Numer | Matura | Cz. teoretyczna | Cz. praktyczna | Ostateczny wynik |
|-----|-------|--------|----------------|----------------|----------------|
| 6879 | 76 | TAK | 88.752946 | 79.877686 | 84.315316 |
| 6895 | 91 | TAK | 62.034767 | 85.445056 | 73.739911 |
| 6827 | 24 | TAK | 67.976412 | 77.292645 | 72.634529 |
| 6851 | 48 | TAK | 50.756540 | 92.809405 | 71.782973 |
| 6869 | 66 | TAK | 74.777922 | 67.380439 | 71.079181 |
| 6877 | 74 | TAK | 55.841107 | 85.406780 | 70.623944 |
| 6817 | 14 | TAK | 41.414643 | 96.032715 | 68.723679 |
| 6859 | 56 | TAK | 50.474206 | 86.935706 | 68.704956 |
| 6871 | 68 | TAK | 82.339747 | 54.062454 | 68.201100 |
| 6820 | 17 | TAK | 58.001296 | 77.999898 | 68.000597 |
| 6819 | 16 | TAK | 59.196089 | 76.002632 | 67.599360 |
| 6885 | 82 | TAK | 71.929936 | 62.216328 | 67.073132 |
| 6875 | 72 | TAK | 71.026002 | 60.461183 | 65.743593 |
| 6843 | 40 | TAK | 75.410284 | 54.786427 | 65.098356 |
| 6888 | 85 | TAK | 64.802540 | 64.868511 | 64.835526 |
| 6865 | 62 | TAK | 76.093133 | 53.415611 | 64.754372 |
| 6822 | 19 | TAK | 54.955819 | 69.418912 | 62.187365 |
| 6880 | 77 | TAK | 68.759453 | 55.569343 | 62.164398 |
| 6884 | 81 | TAK | 56.236813 | 67.099049 | 61.667931 |
| 6837 | 34 | TAK | 60.446668 | 60.690816 | 60.568742 |
| 6836 | 33 | TAK | 64.481449 | 56.375477 | 60.428463 |
| 6881 | 78 | TAK | 57.019840 | 61.455854 | 59.237847 |
| 6824 | 21 | TAK | 53.365339 | 64.331492 | 58.848415 |
| 6828 | 25 | TAK | 62.452911 | 54.194839 | 58.323875 |
| 6887 | 84 | TAK | 48.997788 | 67.093655 | 58.045722 |
| 6845 | 42 | TAK | 58.167318 | 57.794865 | 57.981092 |
| 6811 | 8 | TAK | 53.845230 | 61.450592 | 57.647911 |
| 6897 | 93 | TAK | 38.634778 | 76.230057 | 57.432417 |
| 6858 | 55 | TAK | 52.830437 | 61.670898 | 57.250667 |
| 6833 | 30 | TAK | 43.545914 | 70.800514 | 57.173214 |
| 6806 | 3 | TAK | 68.232738 | 45.211738 | 56.722238 |
| 6826 | 23 | TAK | 45.208564 | 66.943854 | 56.076209 |
| 6849 | 46 | TAK | 63.461755 | 48.627648 | 56.044702 |
| 6818 | 15 | TAK | 65.032035 | 46.843312 | 55.937673 |
| 6847 | 44 | TAK | 46.034033 | 65.788467 | 55.911250 |
| 6839 | 36 | TAK | 51.222363 | 58.652105 | 54.937234 |
| 6894 | 90 | TAK | 48.332332 | 60.281832 | 54.307082 |
| 6883 | 80 | TAK | 43.944421 | 64.538431 | 54.241426 |
| 6864 | 61 | TAK | 44.468548 | 62.821892 | 53.645220 |
| 6823 | 20 | TAK | 57.691334 | 49.422831 | 53.557082 |
| 6890 | 86 | TAK | 60.942556 | 45.634510 | 53.288533 |
| 6834 | 31 | TAK | 43.743291 | 62.308770 | 53.026030 |
| 6831 | 28 | TAK | 63.647427 | 41.504160 | 52.575794 |
| 6852 | 49 | TAK | 31.954410 | 72.667141 | 52.310776 |
| 6825 | 22 | TAK | 59.094181 | 44.806523 | 51.950352 |
| 6807 | 4 | TAK | 50.446218 | 52.625389 | 51.535803 |
| 6892 | 88 | TAK | 39.397966 | 63.295699 | 51.346832 |
| 6860 | 57 | TAK | 50.389185 | 52.102071 | 51.245628 |
| 6898 | 94 | TAK | 60.837683 | 41.253595 | 51.045639 |
| 6813 | 10 | TAK | 64.105475 | 37.634727 | 50.870101 |
| 6840 | 37 | TAK | 37.183937 | 64.092745 | 50.638341 |
